Language,Bytes of Code
Rust,7893749
TypeScript,10368646
JavaScript,35440504
Dockerfile,331023
ANTLR,399805
Python,16810690
Shell,2342033
Jinja,6802
HTML,107801155
HCL,116884
CSS,1173390
Less,7104
RenderScript,1
Java,179153151
C++,2493459
Roff,165615
CMake,44341
Mustache,67006
Makefile,472708
Thrift,127147
NASL,4636
Batchfile,17750
Scala,12784118
Smarty,16167
Groovy,186069
Go,2136701
Ruby,3404670
SCSS,427352
C,13868152
Handlebars,3633
Vue,1934198
MDX,169525
Mako,494
Jupyter Notebook,8618474
Common Lisp,85227
Lex,200031
Vim Script,2806
PicoLisp,1233
Erlang,30752
Perl,1477711
Haskell,1280577
Kotlin,436286
PHP,536646
XSLT,2568596
DTrace,188
PLSQL,464623
TSQL,347751
Swift,8005
VBA,366132
FreeMarker,6384
Yacc,376938
M4,53641
PLpgSQL,18216
Assembly,4791
Rebol,243
Fortran,2191898
SWIG,34154
PostScript,31596
Meson,13648
PureScript,53610
R,408966
Earthly,8730
Nim,287994
PigLatin,665
Cuda,33439
C#,57505
PowerShell,236
Perl 6,49178
ActionScript,23470
AutoHotkey,8832
POV-Ray SDL,6542
Haxe,3874
ASP,2312
Emacs Lisp,67171
YASnippet,292
